No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
1276	吳宗憲表示，對方提告，自己也會提告，他自認傷勢很嚴重，昨傍晚依舊搭機赴芝加哥表演，強調這不是落跑，並坦承當晚喝酒，但酒品和ＥＱ都很好，起衝突是他誤認對方是「狗仔」，「我會透過管道約他們出來聊聊，當面跟他們道歉」。	4.222	4.857	1.133	0.833	news
2854	57歲的潘兆初現時是高等法院上訴法庭法官，林鄭月娥讚揚潘兆初具備高度才能，為官持正不阿，在司法機構及法律界深得敬重，處理民事和刑事上訴的經驗均甚為豐富。	6.111	3.222	0.737	1.548	news
839	介面充足，3個USB，1個讀卡器，外加LAN和顯示器介面，滿足基本的外設需求。	5.500	3.500	0.5	1.025	laptop
1137	立委會質疑官員心態落後，是拿世界主要電玩大賽做借鏡，臺北暗殺星參與的美國英雄聯盟第二季比賽，史上獎金最高，美金100萬，摺合臺北2900多萬，但光是英雄聯盟這款遊戲創造的產值，就超過10億。	5.250	5.571	0.829	1.05	news
2829	她是電影票房皇后，歌唱巨星，甜美、清新、純真、善良、渾身散發快樂，桃樂絲黛具備美國人嚮往的所有特質，但是在真實人生中，她歷盡滄桑。	4.286	3.667	1.161	0.943	news
2792	民主黨籍的司法委員會主席納德勒表示，給巴爾多兩日時間改變主意，又要求他向國會公開完整的通俄調查報告，否則會視巴爾藐視國會。	4.000	4.714	0.0	1.278	news
986	光驅：讀盤能力強，用來放D版碟都沒問題.	6.375	5.500	0.484	0.707	laptop
1408	第八屆「烏克蘭國際發明展」昨天公佈得獎名單，臺灣代表隊九十七件參賽作品，就獲得五十面金牌、三十三面銀牌、七面銅牌，中獎率超過九成，得獎數較去年多一倍，在所有參賽國中表現最佳。	6.875	5.333	0.781	1.247	news
278	它喚醒了我心靈深處的記憶，讓再一次體會學習和成長的快樂。	7.000	5.143	0.0	0.833	book
904	品牌價格低，配置也均衡，xp很容易裝，跟普通裝電腦沒兩量，給後來買的朋友一點建議吧，用深度的xp，按F2進入bois	5.222	4.625	0.629	0.992	laptop
2224	Google一如所有的爆料所道，為這產品線帶來兩名定價較親民的新成員，只要400美元的Pixel3a和480美元的Pixel3aXL。	6.500	5.000	0.5	1.512	news
1083	錢、債務煩惱、煩惱單親父母因照顧家而累壞了，經濟壓力對單親子女造成不少的陰影。	2.571	4.000	0.495	1.155	news
1110	職棒如果沒有了，對基層的球員影響相當大，期許能將棒球以前的光榮再找回來。	5.111	4.143	0.567	1.245	news
578	月壇北街上的護國寺小吃我也老喜歡的。	6.000	4.571	0.816	0.904	hotel
2345	筆身立體浮雕，畫面栩栩如生~提起施耐德，腦中出現的應該是電氣開關，但如果身邊有熟悉的德國友人，施耐德就是比較常見的書寫工具了。	5.286	3.250	0.452	2.046	news
761	比起其它省市的如家差得太遠了，很失望。	3.000	4.833	0.0	0.687	hotel
2517	卡通帆布包，土酷嘻哈~淘寶精選當前售價35元，現可領取5元優惠券，實付到手價格30元，2款可選，趣味可愛。	5.571	3.875	0.495	1.452	news
1809	美國在中日釣魚臺爭端中「選邊站」，不僅將損害中美關係大局，破壞亞太地區的和平穩定，而且使美國在亞太地區的戰略利益受損。	3.667	5.286	0.471	0.881	political
1487	昨於新加坡登場的第一屆《英雄聯盟》Garena超級聯賽最終決賽（ＧＰＬ），「臺北暗殺星」以三比一擊敗強敵「新加坡先鋒」再度摘冠，勇奪美金一萬元獎金、摺合新臺幣約三十萬元。	6.333	4.167	0.816	1.067	news
1134	臺灣電玩隊伍臺北暗殺星在世界電玩大賽中奪冠，政府不僅考慮替代役等優遇辦法，經濟部也說要協助企業取得世界市場，但立委翻出經濟部推動遊戲產業政策要點，經濟部連舉辦遊戲玩家大賽，首獎都規定不得超過10萬塊，立委批評政府心態落後，經濟部說會檢討。	3.333	4.250	0.816	1.09	news
2849	如果中國人每一年的紀念六四的活動都只是年復一年地譴責、咒罵兇手，歌頌、讚美死難者及其家屬，這樣的紀念究竟有多大的價值呢？	3.000	6.750	0.0	0.661	news
816	總體來講，對登封的印象比較差，基本上是髒亂差的典型！	2.333	6.556	0.943	1.165	hotel
671	地段好，設施全，服務一流，希望以後還能入住此酒店！	6.875	6.000	0.599	0.756	hotel
1351	九人的廂行車，被對向的酒駕車輛迎面撞上，整輛車翻落山溝，結果現在一人死亡，兩人昏迷，六人重傷，肇事駕駛也重傷昏迷中。	2.333	4.000	1.155	0.926	news
82	閨蜜總是在半夜三更給我訴苦，說她十分想念某某某，甚至想得廢寢忘食，在那個男的對他呵護備至要星星給星星要月亮給月亮的時候她三天兩頭玩失蹤，如今人家有了女朋友她就要死要活了。	3.000	5.375	0.535	1.218	book
1880	突然想到當年林義雄的二個堅持，一個是立委減半，一個是反核四立委減半這件事從現在的事後諸葛來看，是錯誤的，大錯特錯沒有任何法理根據就說減半就減半我還記得當年聖教主義雄說過立委減半至少可以讓全民少養一半垃圾可是現在情形是垃圾減半了，人民還是選出垃圾喔～不，是垃圾中的霸主我想知道後來聖教主有對此表示後悔還是承認自己錯了嗎?	2.625	6.778	0.484	0.916	political
1696	其實臺灣缺的不是民粹政治，缺的是負責任的反對政治。	4.250	5.750	0.829	1.199	political
2619	常把苦菜端上桌小滿節氣人體生理代謝旺盛，營養物質消耗會增多，應及時進補，且偏於清涼，切忌過於溫熱，損耗陰津，過於寒涼的食物也不要攝入過多。	5.167	3.625	0.373	1.996	news
913	這款是集成顯卡，我覺得夠用了，當時還在v450a－tfo和這款中猶豫不決，看到有搶購就一個衝動買下來了，現在覺得此舉很明智，呵呵。	6.000	4.714	0.0	1.278	laptop
2712	他說，剛爬上包山時感到吃力、速度較慢，與對手爬上包山的時間很接近，又說起步和落包山過程緊張，估計自己到最後1、2秒才成功落地。	5.429	5.667	0.495	1.374	news
321	建議一下目前因為你都還是吃住家中但是我覺得應該要將夫妻倆的所得提出一部份拿給家裡比較實在畢竟養一台車不是說有頭款有能力繳貸款就可以搞定的事情事後的保養費、保險費、油錢、稅金都是一筆開銷再說個難聽一點的話要是好死不死A到的話那筆開銷更會讓你頭大假使不需貸款可以直接購入的話當然我會建議你可以買假如要貸款的話買台機車給老婆比較好不會騎只好慢慢教他	5.000	4.857	0.816	0.99	car
1735	如今受訪者既不滿意施政表現，又不願罷免，說明不滿意度高應是屬於高期望以致於高失望的第一種狀況。	3.625	4.444	0.484	1.066	political
1508	玩笑歸玩笑，29歲的她對結婚確實有憧憬，「信仰也是一個令我轉變的契機吧！	6.500	5.111	0.5	1.595	news
2574	5月14日訊息，今天聯想推出了一款小新螢幕魔力擦，一噴一擦，螢幕宛若新機，而且安全殺菌，售價59元，目前已在聯想商城開售。	5.778	3.111	0.416	1.853	news
1450	世界客屬總會榮譽總會長吳伯雄也以「寧賣祖宗田，莫忘祖宗言」，強調語言傳承的重要，鼓勵大家只要有心就能學好客語。	6.000	5.429	1.054	0.728	news
165	我已經能想像到小侄女拿到書的享受樣子了，呵呵，贈人好書，手有餘香啊，我也開心呢~~	7.625	6.286	0.484	1.03	book
930	選用可靠的防毒軟體，找尋專門防病毒信件或檔整合的應用程式，強化對抗惡意應用程式和信件的能力。	5.750	4.625	0.661	1.111	laptop
2217	據索尼向美國專利商標局申請的檔案中提到，他們描述到一款有著震動反饋的VR手套，甚至會有移植到其他服飾上，像是帽子、褲、上衣等的可能，而且會有冷、暖感。	6.000	5.571	0.0	1.05	news
379	無知吧!怎麼會有人說Altis好?	3.333	6.667	0.816	0.667	car
2834	巨集達電近年在智慧手機市場競爭節節敗退，連續3年大虧5個股本，受惠去年出售Pixel團隊給Go巨集達電連3年股利掛零後，今年終於可以發股利了！	7.167	6.200	0.687	0.4	news
627	超級可怕的旅館，進門後根本不是45平方米的大房間	3.000	6.000	0.0	0.707	hotel
1602	就在釣魚臺爭端正處於僵持之際，美國派遣航母進入釣魚臺附近海域。	4.667	3.625	0.471	1.317	political
467	說真的買到最便宜的我真的會很開心，買到很貴的會嘔個老半天可能是我比較不同吧!!我買東西都希望買到便宜的，不想買貴被當盤子敲耶~回想起來，家中從以前到現在已經買入1X台車子，只要交完車付完錢後，再也不見業代蹤影..屢試不爽喔!幾乎各大汽車品牌都有過經驗，所以從此再也不相信業代口中的服務價格便宜給我，對我來說才是最好的服務~~	5.333	5.222	0.943	0.916	car
1001	遠不如以前的IBM，現在做工差，模棱角及邊緣有明顯的劃手，其次就是如細微觀察，就是兩個筆記（我買了兩個）質量有明顯區別，上次買個lenovoy430高配置，有問題，還退掉了，商品有問題，反正就是湊合吧！	4.000	5.667	0.816	0.943	laptop
1862	陳院長指出，自由經濟示範區之規劃，係秉持自由經濟的觀點，以達成「參與區域經濟整合、「提升國家競爭力」與「釋放企業活力」等三大目標。	6.375	4.167	0.484	1.572	political
778	不過貴陽整個就是一個髒亂差的典型，東東還貴得嚇死人，去貴陽的話就不要抱什麼美好的願望了！	3.143	6.500	0.639	0.5	hotel
649	住豪華標間，寬敞，重裝修較新	5.556	4.444	0.497	1.165	hotel
1414	智慧電風扇則是從同學家的XBOX360Kinect體感遊戲機獲得靈感。	5.000	3.250	0.5	0.968	news
603	總體不錯的酒店，樓宇結構有點怪。	5.111	3.875	0.737	0.599	hotel
2457	天文學家認為，藍移可能是星系團的巨大質量在奇特的軌道加速其星系高速運動，結果是隨著時間的遷移部分星系同時遠離和接近我們。	5.000	3.000	0.0	1.773	news
2506	許多人將這視為理所當然，但如果試著想像旁人難以理解我們的說話或表達方式時，這肯定令我們極度不便和沮喪。	3.778	4.300	0.416	1.735	news
102	去感受喜悅、和平和愛……雖然不是很容易，但是我發現最近困擾我的一些負面情緒正在慢慢流失。	6.500	4.625	0.707	1.409	book
1308	TPA隊長Mistake在接受轉訪時表示，「如果你有夢想，就勇敢去實現，不要後悔。	6.500	6.000	0.707	1.0	news
1146	陳揆承諾，未來會有所檢討。	5.000	4.500	1.155	0.707	news
1255	傅碧惠原本忙碌於工作及基督教會小組的服事之間，四十出頭小姑獨處的她，年輕、亮麗又有幹勁，對未來美容事業的拓展一直有個藍圖；對教會的事奉，她更是積極參與，生活節奏快且充實。	6.714	5.000	0.452	1.0	news
1399	更諷刺的是，挪威人民已經兩次公投反對加入歐盟，因此挪威總理史託騰伯格在恭賀歐盟得獎之餘，也不忘表示挪威目前仍無加盟計畫。	4.375	5.429	1.111	0.728	news
2883	但是強勢的性格，也會帶來負面影響，別人可能會認為你是一個自負或傲慢的人，而你只是習慣了做自己，不想浪費時間取悅別人罷了，哪些跡象表明你性格強勢呢？	4.375	4.857	0.484	1.355	news
1785	當時他承諾與中國達成開創性協議，結束臺灣經濟日益邊緣化。	5.556	4.500	0.956	1.225	political
1765	中共官方喉舌報「人民日報」也報導，黑格在擔任參議員時，一再反對制裁中國。	4.778	3.875	0.416	1.536	political
624	海景不錯，屬於在威海最好的吧。	6.889	6.000	0.567	1.0	hotel
2531	自此，臺灣被割讓給日本，開始了日本50年的殖民統治，臺灣人民進行了犧牲巨大的武裝抗爭，最後以失敗告終，但臺灣人民英勇對抗日本侵略的歷史應該被牢牢記住。	5.000	7.125	1.414	1.053	news
2253	這次主題中登場的共有名偵探皮卡丘、噴火龍、胖丁和魔牆人偶四位角色，重點是，他們外型與聲音都將與電影版中一致。	5.833	4.800	0.898	0.748	news
1294	Moscow5是上一季冠軍，實力雄厚，在準決賽第一局就以猛烈炮火重挫「臺北暗殺星」，但ＴＰＡ以極強的抗壓力及團隊默契，主力王榮燦表現精湛，一旦領先就極力壓制對方，逼使對方求援而露出空檔，而且懷抱「不要死，不能死」的奮戰精神，在接下來的兩局比賽中完全掌握了節奏，最後以二比一逆轉擊敗Moscow5。	6.750	5.625	0.433	0.857	news
604	攜程訂單下了，可是酒店內部協調慢，抵達後等了很久纔拿到前臺；前臺男服務員很差，陰陽怪氣的。	2.667	5.778	0.471	0.916	hotel
533	爆胎就是鬆油門鬆煞車，全心對付方向盤	4.889	5.000	0.567	0.707	car
1136	要點中寫明，鼓勵業者投入國際及動畫影片跟遊戲軟體創作的獎項，但國際級的創作，獎金卻訂出上限50萬，還有鼓勵業者自行開發具有商業價值及國際水準的數位內容產品，獎金也訂出30萬上限，連辦電玩大賽培植遊戲人才，首獎獎金也明訂不能超過10萬塊。	5.000	4.333	0.816	0.943	news
1882	況且，在對抗外侮的國家動員下，更能掩蓋國內各項既存矛盾，這無論是對正訴諸改革反腐的中國，或是扭轉日本人民對「中國即霸權」的刻板印象，都沒有幫助。	3.667	5.286	0.471	0.7	political
14	故事情節的發展，我也心中甜蜜，酸楚，失落，幸福。	5.125	4.571	0.781	1.05	book
1938	國家副主席習近平15日在北京看望了柬埔寨太后莫尼列，對柬埔寨太皇施亞努逝世表示哀悼和慰問。	3.889	3.429	0.875	0.495	political
2530	耶路撒冷希伯來大學研究人員進行的一項令人難以置信的新研究，首次發現了一種將面板細胞轉化為構成早期胚胎所有三種幹細胞型別的方法。	6.714	5.571	0.452	1.05	news
289	疼老婆是一件好事!很好....像我也是剛結婚!!雖然家裡有車子雖然上班公里數差不多要13k不過能盡量不開車還是不開車!說真的開車油錢好貴唷....除非天氣真的很糟糕才會想要開車!!兩個人的收入差不多不到六萬不過....沒認真算過不知道有沒有結餘....騎機車跟開車的開銷真的有差....多存一點真的需要的時候在買吧!!說是這樣子說!我自已也想買台車子給老婆開....	5.333	5.400	0.667	0.49	car
932	本身即代表消除了製造商或系統商對於設備的某些限制，讓用戶幾乎不受管制的安裝程式和決定使用設備方法。	5.333	3.750	0.471	1.199	laptop
2109	現階段的3D列印技術尚不足以列印肺部或者史特拉迪瓦裡琴，但是惠普本週四推出的新型3D印表機有望讓這項技術變得更加實用。	6.429	3.857	0.495	1.125	news
2382	他認為，港鐵及禮頓似乎無就問題進行技術調查，很快就基於有明顯不達標問題而拆除，無詳細分析出現裂痕的原因等。	3.750	4.500	0.433	1.118	news
2335	但具體到連鎖百強的細分業態中，還是難以突破區域龍頭髮展不均、大型超市增長趨弱、百貨超市業績平平的困局。	4.333	3.286	0.471	1.906	news
704	房間裝修時尚、溫馨，用品乾淨舒適，而且有鮮花和水果贈送，有家的感覺，服務熱情周到。	7.571	4.857	0.495	1.457	hotel
1498	NJ將順利擊敗TPA，沒想到TPA硬是闖過這關，殺入4強賽。	6.222	5.250	1.133	1.92	news
1841	另外，中油、臺電去年度大幅虧損，績效獎金仍在經濟部審查中，繼中油以「借支」方式領走三個月獎金後，昨天臺電借支四十天獎金，臺糖借支一個月到一個半月也曝光，經濟部長施顏祥昨天表示，國營事業的績效獎金還沒有覈定，油電事業借支獎金的作法，應該要檢討。	3.889	5.571	0.875	0.728	political
101	平凡的記錄不平凡的費德勒，有過輝煌，有過失落，有歡笑有淚水，相信他的路途依然精彩，勝也精彩，敗也精彩，他的完美在於追求完美......過去喜歡，現在喜歡，將來也一直喜歡，這麼一個人，創造完美，贏了多少，輸了多少，付出多少，收穫多少，ROGER將繼續完整他的人生，讓他更加美麗，我們將依舊支持，默默注視，看他怎樣打出完美比賽，畫出完美人生。	6.444	4.714	0.685	0.881	book
343	之所以有疑慮是因為這些保養的人都是熟面孔了，不過今年這些老師不見好多，沒想到之前私底下爾有聽到抱怨原來是真的還走這麼多人，所以我才有疑慮。	4.000	4.778	0.0	1.03	car
1261	有些飼主會放任自家寶貝亂跑，甚至讓狗跳上桌，這不僅影響到他人，也會讓店家對寵物關上大門，害乖寶寶再也去不了。	3.125	6.000	1.166	0.5	news
852	led冷光屏感覺更舒服，顯卡很好，加2G內存以後，最高質量情況下實況2009完美運行，流暢無比。	7.250	5.833	0.661	0.898	laptop
44	愛情中的把持與堅韌，真的太讓人感動。	6.375	5.333	0.484	0.745	book
386	其實，大蟒也並非這麼完美，還是有很多缺點的！	4.333	4.375	0.667	0.992	car
1658	可見人民的憤怒已經到達臨界點，一觸即發，若沒有適當發抒管道，恐造成社會集體動盪不安。	2.667	6.625	0.471	0.696	political
1026	電玩「英雄聯盟」第二季世界大賽冠軍戰，由6位臺灣選手MiSTakE、Bebe、NexAbc、Colalin、Lilballz、Stanley與1位香港選手Toyz組成的「臺北暗殺星」（TaipeiAssassins，TPA），以3比1擊敗南韓隊伍（AzubuFrost，AZF），抱走百萬美元獎金（約新臺幣3000萬元）	6.500	6.429	0.707	0.495	news
2781	有新人換上在配偶欄列出另一半名字的新身分證之後，喜極而泣，亦有同性伴侶希望，社會紛爭可以告一段落，各方能夠和解。	6.556	5.333	0.497	1.054	news
2392	值友4148553512山東羊角蜜甜瓜，清甜爽口~京東中國特產·平遙扶貧館售價52.8元，可領取13元優惠券，下單實付39.8元包郵，摺合7.96元/斤。	5.625	3.500	0.696	1.871	news
2182	在叫車服務公司Uber即將上市之際，一家計程車工會上週五表示，Uber在紐約的司機下週將舉行罷工，抗議他們認為不公平的就業條件。	4.143	5.571	0.833	1.294	news
1643	馬英九表示，把酒測標準提高，要更嚴，讓大家知道開車上路就是很危險的事，所以絕對不能喝酒，「你一喝酒就有可能被移送，至少有將近廿四小時你會失去自由」。	5.286	4.714	0.7	1.03	political
1140	以外型來說，要對抗南韓團體應該不難，但是舞蹈和唱功有待加強。	5.000	4.667	0.667	0.471	news
1983	只要沒看到支持FACE先推動配套，都是偽FACE狗良養團體。	3.000	6.500	0.707	0.764	political
2388	梅小芳順滑面料，簡約舒爽~天貓商城報價178元，使用40元優惠券後實付138元，近期好價，感興趣的值友不要錯過哦。	5.857	3.571	0.833	1.498	news
1367	前天下午，高雄市鹽埕區新樂街上發生疑似男女感情糾葛的情殺案，被害的陳女在上班打工的「麻糬店」外，被疑似彭姓前男友砍殺成重傷，經送醫急救開刀後，仍有四十八小時的危險期待觀察。	3.250	4.750	0.661	0.968	news
626	酒店外表及大堂看上去挺好的，本來對它也挺有信心的，而且就在市中心，出行挺方便的，可是從進電梯開始就比較惡夢了，那電梯一點都不像是酒店的電梯，而且從電梯到房間都是一股濃濃的很難聞的味道，很噁心，我訂的是標間，設施陳舊又簡陋，實在不敢恭維，還說是三星，我覺得它只比招待所好一點點而且，248的收費簡直是太過分了	3.000	6.333	0.0	0.745	hotel
1298	陳匯中對後天的冠軍賽很有信心，希望抱回冠軍獎盃。	6.444	5.571	0.685	0.728	news
1295	臺北暗殺星隊長MiSTakE（陳匯中）表示：「兩個月前，我們還沒沒無聞，沒有想過能夠站在這裏與世界頂尖隊伍對戰，但是這兩個月來我們非常努力，也做了許多犧牲，努力與犧牲卻給我們帶來了更多。	6.556	5.750	0.497	0.968	news
1391	我能理解，我是一個無能的家長。	2.625	5.000	0.484	1.414	news
2889	波洛西表示，一名男子孤身在街上阻攔一列坦克的圖片，獲得全世界所敬仰，但中國大多數年輕人卻不知道，她對此感到很傷心。	3.375	5.000	0.484	2.145	news
962	第一次在京東買筆記本，有點擔心，不過看來是多慮了，完美屏全新機	6.667	5.250	0.667	1.09	laptop
322	不只RAV4吧，我朋友的2007買的ALTIS新車3個月不到)味道就很明顯了，因為我親身體驗過，我覺得ALTIS狀況比我自己使用的RAV4還嚴重，我的RAV4半年了，至少目前還沒有味道。	4.222	5.000	1.133	0.816	car
1245	使用武力、威脅或強迫，在鄰國或更廣泛的國際社會上都不會贏得好的聲譽。	4.000	4.625	1.118	1.218	news
155	我想如果再來一次。	5.000	5.143	0.0	0.99	book
720	我住的是2樓，窗戶不能上鎖，不夠安全.	3.625	5.429	0.484	0.728	hotel
2228	即使起步遇上挫折，但毫無疑問地智慧手機的下一個浪潮是可摺疊螢幕手機，這也確定會獲得了新世代AndroidQ在系統端的支援。	5.667	4.778	0.667	2.043	news
2886	該證型的患者常有五心煩熱、頭暈、耳鳴、失眠多夢、腰膝痠軟等症狀，或伴有口乾舌燥、舌紅少苔等問題，此證在臨床也最為多見。	4.167	2.167	0.687	0.898	news
2658	微軟安全響應中心的事件響應主管SimonPope呼籲，他們確信會有利用該漏洞的攻擊事件發生，呼籲IT管理員立即採修復行動。	4.000	4.250	0.0	1.92	news
2593	有報導說總統和賴清德民調拉近到3%，總統說是因為內閣改組後，處理問題的速度很明快，至於要不要用手機民調，她會尊重黨內機制。	5.000	3.000	0.0	1.414	news
1241	沒想到弄巧成拙，卻愈銬愈緊，只好與一起共同喝酒的朋友上派出所求助，最後在警消大費周章的動員，手銬總算順利解開，解除男子的心頭大患。	5.000	5.333	1.673	0.816	news
1782	生活不見改善，薪資停滯、房價高漲、出口衰退，馬的民調支援度創歷史新低、僅剩十三趴，使得全國似都同意︰馬先生是個沒用的笨蛋（Mr.Maisanineffectualbumbler）。	2.875	6.000	0.599	0.756	political
1158	2012年夢幻十隊，讓電玩迷讚不絕口。	6.444	5.667	0.956	1.247	news
901	聲音不錯，儘管有點小，但是不象其他人說的那麼差，總體來說不錯.	6.111	4.200	0.567	0.748	laptop
1773	第二件惡毒的事情選贏李應元其實大家都知道李應元是當砲灰但是馬英九87萬票大贏李應元48萬多票一點面子都不給太惡毒了.	3.111	6.429	0.567	1.178	political
405	更別說出差了，一天300公里也不以為奇，相對的，引擎保持在工作溫度區間，油耗自然就會好一些。	5.875	4.800	0.927	0.748	car
1467	驚悉真相後，在殯儀館守靈的林嫌之母數度崩潰，林嫌之弟震驚，愣了半晌，後來才說哥哥最近才搬回家，個性沉默孤僻，很少和家人互動，做事衝動。	3.125	4.857	0.599	1.641	news
2186	2018年8月31日，劉強東因疑似性侵在明尼蘇達大學卡爾森商學院被逮捕，警局報告顯示，嫌疑人涉嫌罪行等級為重罪，涉嫌罪行為強姦既遂。	2.375	6.000	1.218	0.816	news
2760	扁桃腺結石出產於人類的口腔裡，吐出捏碎一聞，卻是惡臭無比，患者常自覺喉嚨卡卡、有異物感，或是明明有刷牙，依然口臭惹人厭。	3.889	4.000	0.737	1.886	news
1805	評論強調，中國維護領土主權的堅定意志和決心不可動搖，在事關國家核心利益的重大問題上，中國政府和人民絕不會退讓半步。	5.750	6.556	0.829	0.497	political
450	色溫：鎢絲燈泡最燙也最耗電....LED比較省電..色澤：黃色較清晰雨天或濃霧)、白色較透亮適合黑暗)、藍色或紫色就是氣氛和炫了..紅色是警示作用..黃色是注意號誌用..所以要清晰又要透亮就是黃金光+超白光吧...但是若是用HID就得小心對焦問題...燈不是爆亮爆閃自己爽就好..避免刺瞎對向車子..造成不必要車禍.	5.000	5.625	0.535	1.218	car
2341	這款卡套採用環保PP+高透PC材質，高透耐磨，不易折斷，耐用性比較強，58*105mm尺寸，厚度5mm，適配一般證件卡。	6.000	2.571	0.756	1.678	news
867	配置算高端了同時運行flash和photoshop和word沒有感到運行緩慢。	6.100	3.857	0.831	1.125	laptop
2386	但即使和我類似的，許多無辜的生命，經過了異性戀沒有的困頓，當下我沒有選擇一股腦地倒給母親，或許和當時，急於累積連署書數量的許多人不一樣。	4.125	4.625	0.781	1.798	news
2058	作為騰訊最重要的增值服務之一，QQ會員誕生已經18年，從VIP到SVIP，從耀眼紅到尊貴黃，都讓眾多小夥伴自願掏荷包，為騰訊帝國添磚加瓦。	5.667	3.667	0.816	1.886	news
2711	十多年前，要從英冠升上英超，成功方程式大抵只有一個—體力化、衝撞、勇猛、有死球殺著，再加一至兩個頭槌王。	5.600	5.143	0.49	1.457	news
2391	天貓淘氣島旗艦店現有兒童棉綢睡衣套裝，原價22.8元，使用5元優惠券後，17.8元到手，近期好價，涼爽舒適，輕薄柔軟，親膚透氣，不掉色不起球，外穿防蚊。	5.500	3.200	0.5	2.135	news
1932	她說，臺灣的慷慨援助提醒大家，世界是大家庭，彼此應互相幫助、雪中送炭；美國感謝臺灣及各國朋友，在這段艱難時期伸出援手。	6.667	5.875	0.471	0.331	political
1064	立榮航空總經理陳憲弘表示:「立榮航空能五度獲獎，要特別感謝蘇前董事長宏義及全體同仁多年來的努力，更要感謝長榮航空導入國際級的管理體制及優質服務，大幅提升了立榮航空服務品質。	7.000	6.250	1.247	1.299	news
657	補充點評2007年10月14日：五層是夜總會，騷擾電話就沒停過	3.556	5.125	0.497	1.053	hotel
831	希望打掃衛生的時候更仔細完美一些。	4.222	5.000	0.629	1.069	hotel
2469	但是許多DIY愛好者卻對遊戲本嗤之以鼻，認為它對比DIY主機價效比低下，傻大笨粗移動性也不見得比桌上型電腦好到哪裡去。	3.625	4.000	0.484	0.756	news
323	不過SUVLIFERAV4討論區不少車主也有反映這問題，我想應該是TOYATA通病不過也有開1-2年也沒有味道的，我想用車習慣、環境也有差吧。	4.500	3.500	0.5	1.118	car
16	當自己對幸福迷茫的時候，就會想到，不要將自己手中的幸福隨便就放掉，那樣，當自己發現那是你的最愛時，已經找不回來了。	5.111	3.667	0.875	0.745	book
2503	工聯會立法會議員麥美娟在會上指出，葵青區議會早前質疑瑪嘉烈醫院重建後，連同地牢只增加6層，認為不足夠。	4.000	3.000	0.0	1.333	news
1591	未來若經濟復甦，朝野每年協商總預算時，還是可進行調整，屆時績效獎金說不定可以恢復到二.六個月，甚至更多。	5.889	5.000	0.737	0.632	political
1210	不過，日本情人節巧克力就是女送男的觀念，似乎已經落伍。	4.333	4.857	0.816	0.639	news
2520	實際上如果你能夠好好傾聽，孩子們微弱或者強烈的心聲和懇求裡，包含了許多意思，他們想說的有很多，只是，你聽不懂。	3.750	4.300	0.661	1.616	news
2724	戒邪淫網-戒邪淫論壇-戒色戒淫戒邪淫年輕時放縱任性，現在飽受不孕苦果，婦科病纏身我在20幾歲以前,按照世法還算個循規蹈矩、純潔的女孩，沒有什麼大過失。	4.286	3.000	0.452	0.816	news
2270	過去，出於對大局和行業發展的考慮，儘管聯想承受了遠超想像的巨大名譽和經濟損失，但我們始終不願意過多地談及細節。	3.875	4.625	0.599	0.992	news
2636	EllaKissi-Debrah在患有嚴重哮喘三年後於2013年去世，她的死因被判斷是嚴重哮喘發作導致的呼吸衰竭。	3.125	3.333	0.599	1.054	news
661	入住登記的時候就一臉很不爽的樣子，隨時要跟我們吵架，句句都是在抱怨和指責，白眼一個接一個。	2.222	6.500	1.03	1.803	hotel
740	推薦給節約消費的自助遊朋友~比較划算，附近特色小吃很多~	6.500	5.429	0.5	0.728	hotel
774	單就缺點羅列如下，望改進:房內夜間有異響.	3.333	4.750	0.816	1.199	hotel
1662	陳根德則建議，特赦可以朝向「有條件的政黨協商」，由民進黨提出特赦，用政黨協商方式處理，不僅可以化解社會對立的仇視，也可以讓全民一起拚經濟，陳沖迴應，「是可以讓對立的氣氛和緩」。	5.375	4.000	0.484	1.0	political
2287	曲周縣北部有個張莊，全村3400畝地，只有1780畝勉強能種植農作物，1943年發大水，村裡460多口人餓死了一多半。	2.625	5.143	0.484	1.457	news
1899	不過，賤民解放區有幾篇關於反經濟全球化論述，我認為不管是正反雙方都應該仔細思考的。	4.778	3.900	0.629	0.831	political
804	總提感覺還是相當不錯的，去揚州的朋友建議你們去住一下~哈哈	7.000	5.429	0.0	0.728	hotel
2179	在本月補丁星期二活動日中，微軟面向所有Windows10系統釋出了累積更新，但是使用者的升級之路並不順暢。	3.667	3.750	0.471	0.829	news
2255	所以各種出清建議、出清政策、出清要求的檔案隨之而來，我最早見到的一份是2018年8月28日下發的某車型追加銷售獎勵公告。	5.000	4.667	0.577	0.943	news
2867	馬幫以集物質主義、極權主義、民粹主義之大成的馬學，對官員們進行持之以恆的洗腦，摧殘了它們的善根和四端，然後把它們投放到充滿巨大利益而缺乏有效制約的官場上去。	3.000	5.800	0.0	0.98	news
2422	一名44歲女子昨日在家中進食野生菇類後，出現腹痛、噁心、嘔吐和腹瀉，同日到那打素醫院求醫，並入院治療，目前情況穩定。	3.875	4.750	0.927	0.968	news
291	或許今天當事者並不是你我，我們無法體會樓主當時在高速公路上的心情。	4.750	5.286	0.433	0.7	car
1815	所以支持廢死的人想法反而更堅定.	5.222	6.286	0.416	0.7	political
